::tag,,,,,,,,,,,
id,icon,color,name,user_id,default_tag,,,,,,
{{genGuid(tag_def)}},question_mark,#3c3e3c,Other,{{useVar(user_id)}},TRUE,,,,,,
{{genGuid(tag_tra)}},train,#3c3e3c,Travel,{{useVar(user_id)}},FALSE,,,,,,
{{genGuid(tag_res)}},nightlife,#3c3e3c,Restaurant,{{useVar(user_id)}},FALSE,,,,,,
{{genGuid(tag_gro)}},shopping_cart,#3c3e3c,Grocieries,{{useVar(user_id)}},FALSE,,,,,,
{{genGuid(tag_clo)}},styler,#3c3e3c,Clothes,{{useVar(user_id)}},FALSE,,,,,,
{{genGuid(tag_hob)}},sports_soccer,#3c3e3c,Hobby,{{useVar(user_id)}},FALSE,,,,,,
{{genGuid(tag_sub)}},all_inclusive,#3c3e3c,Subscriptions,{{useVar(user_id)}},FALSE,,,,,,
{{genGuid(tag_hea)}},vital_signs,#3c3e3c,Health,{{useVar(user_id)}},FALSE,,,,,,
{{genGuid(tag_vac)}},public,#3c3e3c,Vacation,{{useVar(user_id)}},FALSE,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
::keyword,,,,,,,,,,,
id,keyword,tag_id,user_id,,,,,,,,
{{genGuid(kew_sbb)}},sbb,{{useGuid(tag_tra)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_tra)}},transport,{{useGuid(tag_tra)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_gon)}},gondelbahn,{{useGuid(tag_tra)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_bah)}},bahn,{{useGuid(tag_tra)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_she)}},shell,{{useGuid(tag_tra)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_ara)}},aral,{{useGuid(tag_tra)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_sub)}},subway,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_and)}},andy's place,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_piz)}},pizzeria,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_res)}},restaurant,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_mcd)}},mcdonalds,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_bur)}},burger king,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_pz)}},pizza,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_caf)}},café,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_cae)}},cafe,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_tak)}},take away,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_din)}},diner,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_sus)}},sushi,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_gel)}},gelateria,{{useGuid(tag_res)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_coo)}},coop,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_mig)}},migros,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_lan)}},landi,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_lid)}},lidl,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_mil)}},migrolino,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_sup)}},supermarkt,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_ald)}},aldi,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_di)}},dinner,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_spa)}},spar,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_bak)}},bäckerei,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_mul)}},müller,{{useGuid(tag_gro)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_zal)}},zalando,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_nik)}},nike,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_add)}},addidas,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_pu)}},puma,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_hm)}},h&m,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_zar)}},zara,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_ca)}},c&a,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_man)}},manor,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_glo)}},globus,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_vog)}},vögele,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_fas)}},fashion,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_dec)}},decathlon,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_spr)}},sportx,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_guc)}},gucci,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_pra)}},prada,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_lou)}},louis vitton,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_bro)}},broki,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_och)}},ochsner,{{useGuid(tag_clo)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_dig)}},digitec,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_gal)}},galaxus,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_int)}},interdicount,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_med)}},media,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_bik)}},bike,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_kin)}},kino,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_coi)}},coiffeur,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_ama)}},amazon,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_ali)}},aliexpress,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_app)}},apple,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_apf)}},apfelkiste,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_eba)}},ebay,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_mus)}},museum,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
